Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
05/12/2000,-0.00159715826890783,0.266881116039007,0.0533856119457771,0.153604026413704,0.630346649098287,0.73333132261211
05/19/2000,0.0125954283219764,0.311062986386085,0.0731050127363811,0.163720943592637,0.568713613524092,0.741735581994424
05/26/2000,0.0246542866288891,0.342823319176231,0.0872963315929609,0.174253369759303,0.51156404877971,0.749300480063464
06/02/2000,0.0320298083500224,0.356937129769088,0.0931423641333831,0.184886525175427,0.458252562900817,0.756001919966944
06/09/2000,0.0332593378661127,0.35542093908309,0.0887630596266275,0.19518371532199,0.407882375893434,0.761838581528723
06/16/2000,0.028590994699793,0.345199393309432,0.0758114878230134,0.204556778885098,0.357268258019245,0.766828831540557
06/23/2000,0.0167876829134442,0.32594253303961,0.0539415177528199,0.212507927390967,0.304036606930772,0.771008566950323
06/30/2000,-0.00125424179598914,0.297300832844864,0.025169009365384,0.218828482619337,0.245615661524121,0.774425158059341
07/07/2000,-0.0260593862842187,0.25379850502087,-0.00893399291986476,0.223084424514661,0.179275414522166,0.777130322167002
07/14/2000,-0.0552164803616271,0.197929604786776,-0.0457398610063386,0.225475405655766,0.10514649136747,0.779186348953203
07/21/2000,-0.0857406062809784,0.134661783789399,-0.0819435664221734,0.22617615021698,0.0238760428477763,0.780653494225333
07/28/2000,-0.116158434052387,0.0728972665144065,-0.115743318867893,0.225467510331327,-0.0630977790238119,0.78158863784933
08/04/2000,-0.144193147062545,0.0230305827503422,-0.144833771883805,0.223482609586223,-0.153232531850328,0.782046549993471
08/11/2000,-0.168309990035184,-0.00865554683194058,-0.168222095747242,0.220383035105291,-0.242842877846891,0.782077483422116
08/18/2000,-0.186511879199605,-0.0226474128960829,-0.184314895458423,0.21682063499526,-0.329578925797026,0.781726572845943
08/25/2000,-0.198861583514863,-0.0267358888627654,-0.193177521761039,0.212998758280218,-0.411121840854927,0.781034542871669
09/01/2000,-0.206242682449207,-0.0287195206686134,-0.195819088565437,0.209344324971045,-0.485912545623514,0.780038173556735
09/08/2000,-0.208256264368356,-0.0310501988546563,-0.19266491953715,0.206560215230805,-0.55271559471067,0.778770542725963
09/15/2000,-0.206861183560386,-0.0346116416907854,-0.186883152196565,0.205286310515904,-0.610164864290601,0.777262205990217
09/22/2000,-0.202547337661707,-0.0354294984379122,-0.17998754485168,0.206698071996242,-0.65885519817437,0.775541437487846
09/29/2000,-0.196598876611229,-0.0312806807684837,-0.173430215297132,0.212120855300465,-0.701328708041791,0.773634594234441
10/06/2000,-0.189838167378865,-0.0236087482491613,-0.168993685069363,0.222595715338381,-0.739249151759333,0.771564328247403
10/13/2000,-0.181816301997444,-0.0161523305605244,-0.16615222248035,0.23987492494865,-0.77703780836376,0.769356020285114
10/20/2000,-0.17512828647151,-0.017562665032596,-0.166791881207031,0.264644858091686,-0.818941681568364,0.767026028937774
10/27/2000,-0.16814481596579,-0.0269351451632123,-0.169161700069502,0.29735590272977,-0.868407723176857,0.764588591444004
11/03/2000,-0.158518027945866,-0.0384133455764985,-0.17080168479676,0.337398271325926,-0.927538760012846,0.762054448382371
11/10/2000,-0.145248188456631,-0.0434991553062715,-0.170294355487404,0.383805027460615,-0.998299035693354,0.759431675329306
11/17/2000,-0.127562833103404,-0.0335170165476979,-0.167028860952414,0.4345991209124,-1.08044283253329,0.756727274847736
11/24/2000,-0.106988900296362,-0.00662012656038272,-0.161122505069535,0.486670577711633,-1.17352985265424,0.753949155472405
12/01/2000,-0.0865920676924306,0.0314957477554776,-0.153793163639086,0.536002356596559,-1.27561619370084,0.751107495389752
12/08/2000,-0.0710497116715731,0.0668903931003185,-0.14873370019532,0.577968594787713,-1.38167120890446,0.748216154979894
12/15/2000,-0.0653681615627423,0.0869955622717471,-0.148576280556066,0.607853353063816,-1.48687129985785,0.745294180693414
12/22/2000,-0.0704401240596983,0.0868531110991512,-0.153699710641491,0.623220357890352,-1.58675349248196,0.742366160270098
12/29/2000,-0.0906030286774043,0.0615313952568985,-0.169376819907112,0.623322777645535,-1.67618775483206,0.739461902340312
01/05/2001,-0.12019638632593,0.023908695792428,-0.191297731481061,0.609728344841897,-1.75250640526685,0.736615526935848
01/12/2001,-0.155748407063655,-0.0189716024029367,-0.219982054228814,0.58765228917181,-1.81484340269507,0.733867839814973
01/19/2001,-0.192448164736744,-0.0585236507883146,-0.250750766634175,0.560054144200841,-1.86366557073735,0.73125409763505
01/26/2001,-0.225657423378452,-0.0914601519390413,-0.278817492305294,0.530383980458734,-1.90092416700218,0.728809865274666
02/02/2001,-0.252516934292404,-0.118310256133512,-0.30061561663921,0.500665645904609,-1.92779580983683,0.726565769826868
02/09/2001,-0.27105385169788,-0.141118055942166,-0.314041645533904,0.473318927241563,-1.94660411458544,0.724544721947382
02/16/2001,-0.280096747423648,-0.158570131650963,-0.317899331339603,0.449785951763535,-1.95937766391451,0.72276089900316
